VisCent ,VisPeri ,SomMotA ,SomMotB ,DorsAttnA ,DorsAttnB ,SalVentAttnA ,SalVentAttnB ,Limbic_Pole ,Limbic_OFC ,ContC ,ContA ,ContB ,TempPar ,DefaultC ,DefaultA ,DefaultB
-0.00012745,-0.0061733,-0.01375,-0.013408,-0.0086798,0.00037563,-0.013434,0.0007366,-0.008134,-0.0052926,0.00029474,-0.0012053,-0.017631,-0.0063605,-0.001368,-0.022446,-0.030733
0.011468,-0.0025296,-0.012697,0.036399,-0.087095,-0.025917,0.042145,0.037145,0.0053367,0.03573,0.0035599,0.02136,-0.090245,-0.036254,-0.0082225,-0.063741,-0.14948
0.011538,0.014965,-0.018461,0.020147,0.040662,0.1044,0.073021,0.094443,0.019104,0.033357,0.047641,0.21163,0.051174,-0.0065588,0.024166,-0.051044,-0.072324
-0.020109,-0.071003,-0.090964,-0.085707,-0.129,-0.19661,-0.16725,-0.2354,-0.11866,-0.033618,-0.12699,-0.15717,-0.19991,-0.030942,-0.099918,-0.17125,-0.070458
-0.020078,-0.081863,-0.09693,-0.096746,-0.13304,-0.21909,-0.18122,-0.21671,-0.11677,-0.036366,-0.12381,-0.19687,-0.19172,-0.026525,-0.096789,-0.15753,-0.11212
-0.011825,-0.038018,-0.040192,-0.074216,-0.026674,-0.056123,-0.10254,-0.041318,-0.033302,-0.043379,-0.017415,-0.13373,-0.074907,-0.0098123,-0.011532,-0.024775,-0.039243
-0.011342,-0.040743,-0.046815,-0.077312,-0.030672,-0.062431,-0.10707,-0.054918,-0.040734,-0.042547,-0.024807,-0.13511,-0.083674,-0.012008,-0.020022,-0.039884,-0.058036
-0.015645,-0.045112,-0.049088,-0.072713,-0.032816,-0.096424,-0.11595,-0.12347,-0.059842,-0.032662,-0.05315,-0.10674,-0.07978,-0.0038467,-0.042717,-0.045726,0.016443
-0.016984,-0.048387,-0.053967,-0.084936,-0.027129,-0.099431,-0.12984,-0.12031,-0.059501,-0.032391,-0.052578,-0.11999,-0.068579,0.0025175,-0.043665,-0.035926,0.0074152
-0.01253,-0.0029544,-0.041884,-0.056714,0.03687,-0.027336,-0.096499,-0.068933,-0.032697,-0.02322,-0.024402,-0.053453,0.012918,0.0096518,-0.016734,0.034575,0.12416
-0.011105,-0.012135,-0.044654,-0.061199,0.048834,-0.011305,-0.084394,-0.043004,-0.034144,-0.027012,-0.014034,-0.032202,0.022217,0.016742,-0.011681,0.0083076,0.058112
0.00056651,0.0098412,-0.051405,-0.034945,0.018928,0.12893,-0.01122,0.030236,-0.013123,-0.0068515,0.03374,0.18714,0.013041,-0.018932,0.014872,-0.097332,-0.0055878
0.002708,0.036946,-0.060276,-0.0135,0.038203,0.18669,-0.0039629,0.059995,-0.0056953,0.0083647,0.035663,0.24402,0.050436,-0.025061,0.018909,-0.097995,-0.0035359
0.0037673,0.0019034,-0.05581,-0.034003,0.014434,0.12148,0.0018111,0.05389,-0.012522,-0.00038158,0.035103,0.18996,0.015991,-0.019142,0.012091,-0.11226,-0.087857
0.00043874,0.021796,-0.040422,-0.025271,-0.00054322,0.095852,-0.019211,0.069224,0.008516,0.0054371,0.031531,0.088526,0.0061632,-0.027417,0.019851,-0.039947,-0.040368
-0.010692,0.0028008,-0.10217,-0.066934,-0.016092,0.056932,-0.11862,-0.061012,-0.069136,-0.022884,-0.026448,0.11599,-0.028436,-0.033307,-0.023012,-0.13644,0.041049
0.0033529,0.048626,-0.053277,-0.012252,0.092251,0.21032,0.0066268,0.098057,0.0047588,0.0089981,0.042419,0.24801,0.11882,-0.005959,0.025203,-0.055937,-0.019934
0.0034327,0.0061106,-0.053038,-0.031301,-0.010534,0.085712,-0.0064588,0.084577,-0.004468,0.0050038,0.029886,0.1,-0.0009229,-0.028853,0.013679,-0.076088,-0.11986
0.001485,0.013143,-0.047085,-0.014318,0.024875,0.11567,-0.0019509,0.02443,-0.010181,0.0033073,0.024493,0.19227,0.00063915,-0.023097,0.010674,-0.099852,-0.016097
-0.0059636,-0.023606,-0.11709,-0.086442,-0.00027753,0.062244,-0.097217,-0.014429,-0.07482,-0.029067,-0.0073776,0.13321,-0.017334,-0.02607,-0.018299,-0.16627,-0.084688
-0.0032532,0.0022754,-0.015734,-0.014326,0.013127,0.0048823,-0.022452,-0.0097857,-0.0080073,-0.0064802,-0.0022657,0.0052958,0.0026176,-0.00033674,-0.0020253,-0.0022391,0.011699
0.00057924,0.0056571,-0.0076739,-0.0045144,0.020671,0.018955,-0.0046748,0.0084609,0.00077778,-0.0027334,0.0040927,0.018468,0.013903,0.0017701,0.0028385,0.00056677,0.00013219
-0.010409,0.060788,-0.039192,-0.033927,0.14607,0.13493,-0.062993,-0.01005,-0.0070916,-0.016406,0.0060836,0.11764,0.13786,0.022894,0.0097726,0.054065,0.22387
-0.010796,0.065819,-0.044873,-0.040949,0.19196,0.17134,-0.063996,0.029123,-0.0024119,-0.015531,0.014299,0.14759,0.20046,0.037176,0.016975,0.064141,0.18631
-0.0049746,0.1025,-0.031696,0.00066816,0.1845,0.21049,-0.020819,0.079342,0.032508,0.025249,0.038209,0.21243,0.25643,0.024676,0.037771,0.13592,0.30918
-0.0077378,0.092082,-0.027009,-0.015296,0.23513,0.20527,-0.033393,0.10473,0.033979,0.0090933,0.038399,0.16195,0.30624,0.050822,0.038677,0.16903,0.25937
-0.0090885,0.066231,-0.029454,-0.021811,0.10542,0.11119,-0.05743,0.039767,0.016221,0.00070768,0.016611,0.067835,0.13373,0.0095991,0.0199,0.09764,0.18018
-0.010077,0.074151,-0.03611,-0.021328,0.13418,0.10234,-0.066387,0.02471,0.013068,0.014277,0.0079025,0.10088,0.19618,0.022468,0.016695,0.14488,0.31112
-0.011047,0.078616,-0.050036,-0.040349,0.19987,0.16546,-0.069083,0.09231,0.017823,0.0054046,0.027834,0.13707,0.27883,0.040607,0.030181,0.14563,0.23173
-0.0085334,-0.0097554,-0.060405,-0.080089,0.0036898,0.047625,-0.083262,0.058579,-0.013406,-0.028109,0.034373,-0.041478,0.0038157,-0.015331,0.021962,0.018592,0.044354
-0.0089214,-0.017923,-0.0662,-0.086538,0.0080928,0.03895,-0.089722,0.060796,-0.019656,-0.032028,0.029644,-0.053741,0.0069116,-0.0098388,0.016507,0.0018498,-0.0094833
-0.012305,-0.033955,-0.048779,-0.080943,-0.016821,-0.057991,-0.11501,-0.025509,-0.035618,-0.047882,-0.012542,-0.18674,-0.06043,-0.0060964,-0.0097628,0.027553,-0.0080605
-0.011701,-0.041198,-0.057104,-0.088157,-0.026818,-0.057401,-0.11694,-0.021429,-0.041325,-0.049271,-0.010983,-0.18326,-0.076028,-0.011389,-0.011171,-0.00038657,-0.047853
-0.0061546,0.093527,-0.034759,-0.0060832,0.15625,0.15986,-0.033071,0.035749,0.019925,0.019356,0.016698,0.17314,0.20814,0.020689,0.019043,0.11681,0.29146
-0.0037419,0.083488,-0.032078,-0.014552,0.21222,0.18792,-0.014468,0.090895,0.028582,0.01534,0.033848,0.18855,0.2674,0.044309,0.03023,0.12014,0.19801
-0.0051054,0.05472,-0.035006,-0.011059,0.067518,0.093781,-0.042037,0.025821,0.0030581,0.012075,0.011913,0.1109,0.10102,-0.0002889,0.014853,0.037078,0.14017
-0.0037447,0.045178,-0.039854,-0.025751,0.11516,0.11162,-0.034184,0.069847,0.0060987,0.0077468,0.025227,0.12156,0.15813,0.017088,0.023594,0.055961,0.1065
0.010788,0.04438,-0.012514,0.015529,0.024705,0.11609,0.048476,0.15983,0.053422,0.029465,0.074461,0.047502,0.061372,-0.015314,0.049718,0.081706,0.0044809
0.0084714,0.030754,-0.018187,-0.00015911,0.054379,0.12117,0.033316,0.16444,0.042919,0.018425,0.070082,0.043768,0.088774,-0.0029909,0.043786,0.075006,-0.0223
0.0090562,0.02242,0.0061013,0.029231,0.028478,0.051348,0.050998,0.069609,0.02958,0.021686,0.033523,0.048323,0.043778,0.0011401,0.019109,0.046785,0.010462
0.009624,0.020647,0.0074704,0.027784,0.035639,0.056229,0.054704,0.081607,0.032355,0.019462,0.038144,0.046237,0.051899,0.0047699,0.02276,0.052702,0.0040782
-0.023913,0.0031844,-0.037031,-0.082468,0.11234,-0.041947,-0.1544,-0.068924,-0.032634,-0.048019,-0.033029,-0.14091,0.10493,0.0464,-0.016312,0.13921,0.22484
-0.02545,0.044139,-0.034455,-0.065351,0.16614,0.031986,-0.14501,-0.050191,-0.015443,-0.039659,-0.017582,-0.079321,0.17582,0.049615,-0.0022093,0.20708,0.40076
-0.025681,0.024222,-0.04297,-0.08531,0.16102,0.010461,-0.1617,-0.019155,-0.018613,-0.041531,-0.013429,-0.11116,0.19683,0.05927,0.00098225,0.20699,0.32175
-0.018789,0.031722,-0.036523,-0.066999,0.14879,0.034152,-0.1141,0.023216,-0.00071481,-0.02979,0.0056478,-0.073904,0.16159,0.045532,0.01058,0.171,0.19911
-0.016005,0.04067,-0.025196,-0.045276,0.10042,0.018552,-0.096471,0.0051996,0.0098494,-0.014551,0.0035575,-0.069866,0.10375,0.022397,0.0091293,0.16977,0.21777
-0.018888,0.023962,-0.024011,-0.054648,0.10654,-0.020121,-0.1211,-0.024909,-0.0078872,-0.033449,-0.0087771,-0.14313,0.11545,0.038713,0.0040163,0.20642,0.29306
-0.01568,0.019044,-0.018971,-0.056354,0.12613,0.0034367,-0.10614,0.01285,0.00017856,-0.033623,0.0051564,-0.13034,0.14213,0.049114,0.01111,0.19919,0.237
-0.013714,0.010524,-0.016205,-0.039372,0.054279,-0.06193,-0.090066,-0.020804,0.0016512,-0.015615,-0.011578,-0.14713,0.03909,0.021138,-0.0034699,0.15965,0.14559
-0.016371,-5.70E-05,-0.026797,-0.062537,0.093506,-0.056491,-0.11114,-0.0060019,-0.0071196,-0.027074,-0.0075577,-0.15092,0.088276,0.040555,-0.0011149,0.16663,0.14281
-0.03016,-0.0024324,-0.06369,-0.094963,0.065616,-0.10698,-0.20371,-0.16427,-0.067287,-0.038807,-0.081877,-0.14157,0.074829,0.03343,-0.049948,0.12276,0.34602
-0.025144,0.014374,-0.053031,-0.074054,0.071928,-0.06571,-0.16212,-0.086834,-0.038353,-0.013096,-0.048113,-0.093122,0.12601,0.030401,-0.025209,0.16939,0.36245
-0.019124,0.020302,-0.052938,-0.071362,0.11257,-0.0028521,-0.13855,-0.034669,-0.028021,-0.015664,-0.025749,-0.023077,0.17833,0.042906,-0.0095749,0.13795,0.2888
-0.02621,0.019208,-0.046812,-0.058855,0.064653,-0.090515,-0.15642,-0.11925,-0.040281,-0.0049547,-0.057531,-0.085559,0.094742,0.029498,-0.030909,0.15501,0.3426
-0.025712,-0.024886,-0.053303,-0.095827,0.040727,-0.11704,-0.17969,-0.12791,-0.057757,-0.041209,-0.065371,-0.1728,0.041472,0.033025,-0.041884,0.08936,0.18769
-0.020971,0.044287,-0.045006,-0.047952,0.091583,-0.0044724,-0.13153,-0.072761,-0.027623,-0.0070157,-0.036298,-0.0040375,0.14993,0.027183,-0.014013,0.13913,0.37179
-0.022776,0.011421,-0.043796,-0.067486,0.10996,-0.059551,-0.1347,-0.058866,-0.027666,-0.0033963,-0.033083,-0.058933,0.15863,0.051003,-0.013291,0.16406,0.2727
-0.024147,-0.010355,-0.076238,-0.083831,0.011264,-0.099243,-0.18069,-0.1542,-0.07765,-0.020407,-0.068309,-0.058265,0.019113,0.0086169,-0.04386,0.028694,0.26067
-0.023073,-0.017881,-0.075958,-0.095843,0.048638,-0.080411,-0.1711,-0.097901,-0.066494,-0.022477,-0.047736,-0.06162,0.075164,0.029348,-0.028695,0.053126,0.20206
